Release_Date,Movie_Title,Production_Budget,Domestic_Gross,Worldwide_Gross
2004-11-06,The Stepford Wives,100000000,59475623,96150482
2007-08-06,Surf’s Up,100000000,58867694,145395745
2006-08-12,Blood Diamond,100000000,57377916,171377916
2019-07-11,Midway,100000000,56846802,126829063
2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717
1997-07-11,Starship Troopers,100000000,54768952,121100000
2009-05-06,Land of the Lost,100000000,49438370,69548641
2003-12-18,Peter Pan,100000000,48417850,95255485
2019-03-15,Wonder Park,100000000,45216793,115112118
2004-07-23,Catwoman,100000000,40202379,82078046
2014-08-14,The Expendables 3,100000000,39322544,209461378
2002-11-27,Treasure Planet,100000000,38120554,91800000
2010-12-03,Green Zone,100000000,35497337,97523020
2017-10-13,Geostorm,100000000,33700160,220796009
2019-12-17,Cats,100000000,27166770,75486351
2015-11-26,In the Heart of the Sea,100000000,25020758,89693309
2014-04-18,Transcendence,100000000,23022309,103039258
2005-02-18,Son of the Mask,100000000,17018422,59918422
2018-05-12,Mortal Engines,100000000,15951040,85480271
2021-03-02,Chaos Walking,100000000,13287908,26943020
2021-10-13,The Last Duel,100000000,10853945,29690034
2002-08-16,The Adventures of Pluto Nash,100000000,4411102,7094995
2012-01-20,Jin líng shí san chai,100000000,311434,98227017
2020-12-06,Artemis Fowl,100000000,0,0
2021-08-12,West Side Story,100000000,0,0
2015-05-11,The Peanuts Movie,99000000,130178411,250091610
2019-06-02,The LEGO Movie 2: The Second Part,99000000,105806508,190131036
2001-04-05,The Mummy Returns,98000000,202007640,435040395
2019-11-14,Ford v. Ferrari,97600000,117624357,224418748
2002-12-20,Gangs of New York,97000000,77730500,183124621
2017-04-05,Alien: Covenant,97000000,74262031,238521247
2015-06-03,Cinderella,95000000,201151353,542351353
2012-06-27,Ice Age: Continental Drift,95000000,161321843,879765137
2001-12-28,Black Hawk Down,95000000,108638745,159691085
2010-05-27,Sex and the City 2,95000000,95347692,294680778
2010-12-02,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874
2012-10-08,The Campaign,95000000,86907746,104907746
2010-12-11,Unstoppable,95000000,81562942,165720921
1997-09-05,The Fifth Element,95000000,63570862,263893960
2000-03-31,The Road to El Dorado,95000000,50802661,65700000
2009-11-12,The Lovely Bones,95000000,44114232,94894448
2014-12-19,Seventh Son,95000000,17725785,108874967
2003-05-30,Finding Nemo,94000000,380529370,936094852
2003-12-17,The Lord of the Rings: The Return of the King,94000000,377845905,1120214046
2002-12-18,The Lord of the Rings: The Two Towers,94000000,342548984,919148764
2001-06-15,Lara Croft: Tomb Raider,94000000,131144183,273330185
2015-01-29,Kingsman: The Secret Service,94000000,128261724,404561724
2001-12-19,The Lord of the Rings: The Fellowship of the Ring,93000000,315544750,891216824
2001-07-18,Jurassic Park III,93000000,181166115,365900000
2011-05-08,Rise of the Planet of the Apes,93000000,176760185,470986200
2008-02-14,The Spiderwick Chronicles,92500000,71195053,162839667
2004-10-22,The Incredibles,92000000,261441092,631441092
2013-06-02,A Good Day to Die Hard,92000000,67349198,304249198
1995-12-22,Cutthroat Island,92000000,10017322,18517322
2013-12-19,The Secret Life of Walter Mitty,91000000,58236838,187861183
2017-12-20,Jumanji: Welcome to the Jungle,90000000,404508916,961613199
1997-01-07,Men in Black,90000000,250690539,587790539
1999-11-19,Toy Story 2,90000000,245852179,511358276
2001-03-08,Rush Hour 2,90000000,226164286,347425832
2009-12-25,Sherlock Holmes,90000000,209028679,498438212
2020-01-15,Bad Boys For Life,90000000,204417855,424536881
2009-01-07,Ice Age: Dawn of the Dinosaurs,90000000,196573705,886686817
2018-12-12,Spider-Man: Into The Spider-Verse 3D,90000000,190173195,375654619
2000-07-21,What Lies Beneath,90000000,155464351,288693989
2020-02-13,Sonic The Hedgehog,90000000,146066470,304961681
2011-08-04,Rio,90000000,143619809,487519809
2019-07-24,Once Upon a Time…in Hollywood,90000000,142502728,377562039
2006-06-10,The Departed,90000000,132384315,289660619
2000-03-11,Charlie's Angels,90000000,125305545,259736090
2008-08-13,Tropic Thunder,90000000,110515313,191145256
2011-12-20,The Girl with the Dragon Tattoo,90000000,102515793,239373970
1997-11-07,Contact,90000000,100920329,165900000
2008-06-06,You Don't Mess With the Zohan,90000000,100018837,202910991
1995-05-19,Die Hard: With a Vengeance,90000000,100012499,366101666
2016-12-09,The Magnificent Seven,90000000,93432655,162136124
2015-12-18,Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956
2001-08-06,Atlantis: The Lost Empire,90000000,84052762,186049020
